query_id,history,gaps_days,target_items
64,23 30 70 214 385 409 477 495 507 533 556 811 903 1036 1354 1387 1437 1468 1506 1536 1666 1675 1828 1867 2014 2170 2332 2387 2438 2522 2544 2724 2909 3014 3255 3361 3377 3398 3423 3548 3621 3908 4053|16 554 891 903 1036 1354 1355 1387 1597 1638 1666 1690 1712 1828 1834 1958 2014 2291 2353 2404 2430 2438 2805 2919 3176 3361 3373 3377 3412 3548 3556 3621 3622 3686|1875,0 49 0,1225
65,1131 1168 1254 1298 1303 1331 1343 1746 1837 2184 2604 2909 2916 3369 3519 3553 3569 3635 3646 3705 4028|77 140 183 303 388 454 477 536 601 1254 1331 1531 1585 1870 1964 2012 2090 2246 2380 2581 2680 2909 2916 2918 3007 3117 3362 3584 3639 3646 3654 3672 3761 3829 3897 3898 3984|186 281 285 1360 1828 1921 1964 2604 2930 3298 3584 3829 3932|213 281 303 314 369 388 1254 1360 1585 1828 1859 1866 2416 2916 2930 3007 3298 3412 3584 3761 3876|273 281 314 345 477 486 800 1254 1331 1585 1828 1866 2090 2416 2581 2930 3231 3362 3412 3761 3898|140 213 273 314 388 486 1251 1254 1331 1828 1866 3007 3231 3298 3362 3412 3654 3761 3876|152 273 800 913 1254 1360 1531 1585 1658 1828 1866 1921 1996 2026 2167 2680 2909 3086 3159 3231 3298 3412 3588 3672 3730 3761 3876|77 213 273 388 477 800 1254 1360 1531 1658 1828 1866 1996 2026 2090 2167 2416 2581 2680 2909 2916 2930 3231 3298 3412 3588 3761 3876 3898|77 140 213 314 345 388 477 800 913 1254 1331 1531 1828 1996 2416 2581 2916 3007 3298 3362 3412 3654 3761 3829|140 183 185 273 281 314 345 388 477 1111 1254 1658 1828 1996 2026 2090 2167 2416 2581 2604 2680 2909 2918 2930 2984 3021 3231 3385 3412 3654 3730 3738 3761 3819 3829 3876 3897 3898|280 968 990 1262 1599 2090 2167 2416 2581 2604 2680 2841 2900 2948 2963 3298 3761 3876|77 152 280 466 1199 1262 1394 1453 2075 2184 2909 2919 3231 3417 3730 3829 3876|1155|990|77 277 280 281 477 990 1043 1527 1599 1828 1837 2125 2289 2916 3072 3075 3538 3649 3939 4069|77 86 162 172 180 199 280 477 525 589 1262 1658 1921 2025 2266 2289 2416 2454 2857 2909 3007 3412 3538 3649 3829 3881 3939 3993|77 86 162 180 280 1262 1921 2025 2416 2857 3412 3881|224 1742 2096 2409|77 86 162 180 224 477 1262 1658 1742 1921 2025 2096 2289 2409 2416 3829|77 140 280 345 477 525 1262 1331 1658 1921 1934 2096 2125 2289 2293 2409 2416 2581 2857 2898 2916 3007 3051 3282 3829 3876 3881 3939 4063|1133 1699 2905 3522|14 232 405 581 1024 1133 1262 1331 1527 1699 1921 2096 2167 2289 2293 2857 3672 3876 3881|14 86 140 345 405 581 1699 1742 1921 1934 2096 2167 2416 2857 2898 2905 3051 3881 4063|14 77 104 140 180 232 280 396 405 477 581 911 914 990 1005 1133 1262 1380 1417 1537 2096 2135 2289 2478 2509 2581 2685 2843 2916 3051 3159 3571 3829 3876 3935 3939 4069|280 1133 1243 1262 1415 1417 1761 2843 3697 3939 4069,0 95 22 20 30 13 27 21 18 39 31 17 0 3 16 130 30 0 22 46 0 22 16 36 20,14 104 180 280 396 405 914 990 1417 2096 2135 2478 2581 2685 2916 3571 3935 3939 4069
66,2596|68 1598 2703 3508|1598 2703|2596|213 951 1598 2703|2432 3984|1598 2596 2703|951 1598 2596 2703|2432 3984|2596|2432 3984|213 951 1598 2596 2703|213 951 1598 2703|1662 3147|3984|1598 2596 2703|1598 2703|82 158 180 477 526 606 637 680 752 763 1011 1423 1495 1559 1764 1771 1822 1861 2003 2156 2196 2363 2459 2526 2603 2909 3197 3403 3437 3445 3844 3910|1598 2003 2596 2703 3197 3844|2966|2003 3445|752 763 951 1598 2156 2363 2526 2596 2703 3197 3910|158 1559 1598 2703|477 526 637 1495 1822 3403 3445|763 2596|148 158 238 637 752 754 951 1011 1423 1506 1559 1592 1598 1764 1807 1861 1964 2003 2156 2363 2596 2703 2932 2966 3197 3361 3403 3412 3844|63 1225 3375 4069|63 238 754 763 951 1225 1506 1598 1964 2156 2596 2703 3361 3375 3412 3844 4069|63 238 754 763 951 1011 1225 1506 1598 1807 1964 2003 2156 2596 2703 2932 2966 3361 3375 3844 4069|63 238 754 1011 1225 1506 1807 1861 2596 2932 2966 3197 3361 3375 3403 3844|2 2691 3417|2156|763 1225 3375 4069,0 84 46 38 73 18 18 16 0 3 23 6 0 8 4 13 56 36 25 2 28 28 11 0 13 43 13 30 13 39 0 0 14,1225 4069
67,217 676 1867 1928 2379 2416 2472 2884 3087 3931 4053|2821,0 8,566 1049 1129 2170 2181 2345 2416 2450 2510 2689 2715 3243 3626
68,35 82 175 184 756 853 1398 1401 1479 1586 1957 2435 2459 2469 2681 2806 3078 3217 3331 3404 3629 3656 3920 3937|104 384 392 489 674 719 756 853 990 1225 1774 1850 2197 2407 3078 3307|35 221 445 714 748 756 818 853 860 1019 1173 1268 1774 1792 1975 2205 2523 2581 2648 2806 2864 3078 3217 3392 3393 3920 3937 3981 4032|183 534 589 714 756 853 860 953 963 990 1014 1193 1273 1309 1479 1512 1636 1658 1671 1779 1827 2082 2205 2446 2581 2662 2790 2839 2911 2918 2949 3007 3016 3078 3269 3392 3394 3517 3808 3920 4027,0 42 109 186,235 674 719 990 1394 2118 2404 2521 3307 3394 3807
69,20 59 392 454 754 884 934 963 1576 1582 1761 1807 1870 1882 2207 2379 2522 2693 2927 2932 3016 3161 3192 3356 3365 3390 3808 4032 4071 4078|20 140 630 754 919 1582 1761 2379 2677 2693 2740 2932 3536 4032 4078|20 140 630 884 1576 1582 1761 2522 2596 2740 3390 4032|2274|70 82 127 280 455 606 958 973 1511 1536 1654 1771 2459 3029 3098 3344 3362 3804 3939 3965 3990|392 4071|414 751 754 874 1102 1761 1807 1837 2357 2932|140 282 519 630 867 1151 1527 1761 1911 1932 2031 2117 2343 2357 2396 2636 2671 2740 4032|11 39 139 162 260 414 531 727 1216 1259 1527 1590 1742 1761 2016 2096 2357 2715 3243 3316 3414 3551 3877|139 162 260 727 843 913 1102 1742 1837 2096 2715 3072 3243 3551|3051 3057 3789 3935 4063|178 221 260 525 727 843 1019 1761 2016 2065 2449 2650 2715 3243 3321 3383 3404 3414|727 1005 1102 1761 2449 2650 2661 3072 3321 3383 3404|2088|1005 1837 2088 2650 3321 3404,0 41 81 0 68 0 28 127 78 58 0 57 48 0 32,1119
70,200 260 280 384 481 722 871 947 1259 1359 1527 1555 1598 1690 1712 1761 1977 1982 2016 2110 2207 2216 2252 2404 2543 2715 2783 2873 3159 3243 3284 3316 3356 3383 3414 3567 3629 3749 3797 3939 3998|200 377 382 2029 2110 2799 3356 3482,0 56,200
71,23 77 80 217 277 292 383 493 554 560 642 741 779 999 1079 1359 1556 1707 1747 1758 1788 1793 1828 1834 1958 1964 2003 2014 2035 2095 2107 2379 2592 2666 2692 2760 2803 2821 2856 2884 2916 3041 3139 3145 3195 3377 3621 3686 3689 3882 3887 3948 4026 4042|23 217 277 384 385 433 476 505 554 565 619 710 970 989 1035 1062 1261 1296 1298 1359 1387 1456 1528 1556 1621 1653 1675 1698 1782 1828 1846 1856 1889 1945 1958 2014 2035 2059 2066 2107 2110 2291 2352 2356 2404 2522 2524 2544 2666 2674 2689 2732 2821 2889 2903 3021 3114 3145 3158 3250 3365 3370 3377 3398 3403 3412 3454 3519 3621 3686 3689 3910 3942 3948 4051|737 751 1093 1155 1333 1433 1610 2118 3103 3375 3995|565,0 178 52 15,277 384 433 554 560 970 1062 1359 1387 1556 1675 1828 1856 1889 1958 2035 2107 2110 2291 2352 2404 2544 2732 2903 3377 3398 3412 3621 3887 3910
72,171 536 973 1347 1783 3052 3262 3656 3965|171 3052 3262 3656|171 849 973 1347 1748 2909 3052 3262 3656 3813 3965 4047|1347 3656,0 32 55 214,315 421 1057 1282 1347 1417 1690 2143 2278 2416 2454 2521 3629 3993
73,3844|2844|2844|2844|2844,0 60 36 75 63,2844
74,20 38 70 89 140 147 198 213 388 424 444 524 579 591 630 783 811 871 874 963 968 999 1045 1051 1117 1184 1262 1275 1325 1359 1479 1536 1570 1603 1618 1621 1693 1784 1866 2035 2131 2153 2352 2364 2382 2421 2533 2771 2856 2964 2965 3065 3078 3224 3392 3445 3556 3785 3965 3992 4018|18 27 42 82 125 187 245 307 313 333 353 392 405 488 491 514 549 606 666 716 759 853 884 937 970 995 1024 1039 1095 1116 1160 1236 1254 1272 1354 1361 1401 1500 1565 1585 1599 1668 1673 1675 1717 1747 1771 1806 1825 1856 2005 2006 2022 2081 2451 2459 2538 2576 2629 2657 2709 2743 2916 3012 3090 3192 3252 3258 3294 3330 3367 3373 3417 3583 3615 3629 3669 3690 3976 3979 4001|20 25 140 314 375 385 630 698 785 814 853 874 908 1095 1117 1221 1268 1400 1409 1806 1819 1834 1846 1883 1908 2107 2225 2548 2666 2726 2740 2805 2949 3587 3711 3730 3834 3857 3924 3990 4032|24 42 47 121 177 190 213 248 282 323 405 412 512 531 576 579 600 614 629 630 698 724 795 853 874 896 914 985 999 1031 1091 1097 1174 1214 1264 1281 1282 1328 1409 1429 1438 1479 1506 1509 1693 1806 1850 1908 1932 1961 2006 2046 2078 2081 2117 2130 2153 2163 2167 2175 2183 2258 2277 2278 2323 2416 2513 2537 2548 2614 2636 2641 2658 2684 2787 2788 2843 2885 2905 2906 2949 3121 3122 3141 3285 3288 3382 3406 3417 3486 3514 3517 3522 3551 3554 3580 3609 3687 3711 3742 3834 3894 3925 3931|30 42 70 138 140 178 217 224 278 292 316 323 345 405 412 423 572 595 614 630 640 738 754 795 836 853 951 963 973 984 1012 1039 1043 1068 1075 1112 1117 1138 1174 1227 1265 1268 1272 1284 1300 1324 1328 1354 1386 1394 1414 1416 1417 1479 1509 1511 1682 1721 1756 1772 1848 1861 1895 1896 1912 1945 1982 1985 1992 2006 2107 2126 2132 2136 2156 2184 2196 2254 2289 2329 2352 2379 2402 2418 2419 2432 2438 2445 2513 2521 2531 2544 2573 2581 2596 2717 2740 2758 2843 2844 2892 2903 2932 2945 2946 2979 2991 3037 3145 3174 3192 3238 3267 3288 3312 3445 3481 3498 3517 3522 3541 3542 3554 3587 3621 3626 3656 3819 3887 3894 3934 3965 3967 3994 4032 4071 4074 4078,0 133 7 299 33,160 176 185 249 412 671 753 791 984 1133 1199 1214 1265 1411 1415 1437 1570 1693 2146 2175 2313 2416 2580 2740 2805 2905 2919 3046 3087 3378 3451 3578 3647 3653 3666 3994 4032
75,30 32 176 234 476 779 1124 1138 1174 1257 1512 1543 1658 1675 1761 1838 1932 2407 2416 2438 2491 2631 2666 3063 3223 3241 3398 3483 3573 3645 3792 3813 3907 3990 3995|436 479 700 1450 2671 2951 3043 3079 3436 3560 3671|200 236 595 833 1047 1155 1168 1225 1354 1394 1945 2185 2689 2779 3250 3295 3328 3394|118 121 263 1425 2007 3590|751 795 1090 1098 1206 1399 1499 2081 2309 2513 2661 2744|418 1355 1358 1580 3016|1026 1119 1427 1896 2088 2309 2404 3185 3320 3417,0 58 108 11 25 14 14,311 375 411 1391 1646 1873 1996 2184 2335 2591 2623 3454
76,29 660 990 1385 1396 1698 2522 3298|543 609 1462 1550 2542 2677 2844 2871 2895 3498 3904|99 512 660 1620 1654 2006 2344 2365 2861 2871 2965 3126 3588 3904,0 69 124,29 94 512 523 660 922 990 1077 1096 1396 1698 1703 1716 1755 2139 2340 2871 3110 3555 3588 3678
77,2 32 139 535 651 833 914 1047 1078 1206 1834 1965 2110 2181 2474 2570 2576 2691 3075 3103 3182 3295 3375 3864 3995|2 32 139 396 535 1834 1965 2110 2181 2379 2576 2889 2927 3075 3152 3995|2 32 58 139 200 280 651 833 890 1047 1206 1415 1555 1658 1834 1846 1965 2169 2379 2474 2493 2537 2576 2689 2691 2695 2749 2889 2927 2963 3075 3145 3295 3307 3375 3804 3939 4047 4051 4069|58 200 890 1415 1905 2118 2169 2207 2537 2576 2689 2745 2889 2906 2920 3145 3152 3295 3307 3371 3375 4051 4069|144 280 713 775 846 858 1330 1555 1771 1834 2173 2199 2493 2537 2538 2576 2819 2929 2963 3037 3064 3307 3583 3716 3804 3939 3952 3995|2 58 104 139 241 421 479 599 713 775 803 1043 1206 1382 1415 1634 2029 2110 2143 2173 2379 2474 2531 2538 2576 2823 3037 3064 3145 3307 3481 3583 3820 3995 4069,0 22 26 6 10 3,2 421 599 775 1206 2110 2143 2493 2823
78,1080 1102 1916|1916|137 1916 1921 2547 3757,0 160 300,1355 1638 1921
